Task,Function
Turn on Microwave_2,ToggleObjectOn(Microwave_2)
Turn on ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Turn on ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Turn on ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Turn on StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Turn on StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Turn on StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Turn on StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Turn on StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Turn on StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Turn on Television_0,ToggleObjectOn(Television_0)
Turn on Television_1,ToggleObjectOn(Television_1)
Turn on Television_2,ToggleObjectOn(Television_2)
Turn on Toaster_0,ToggleObjectOn(Toaster_0)
Turn on Toaster_1,ToggleObjectOn(Toaster_1)
Turn on Toaster_2,ToggleObjectOn(Toaster_2)
Switch on Candle_0,ToggleObjectOn(Candle_0)
Switch on Candle_1,ToggleObjectOn(Candle_1)
Switch on Candle_2,ToggleObjectOn(Candle_2)
Switch on CellPhone_0,ToggleObjectOn(CellPhone_0)
Switch on CellPhone_1,ToggleObjectOn(CellPhone_1)
Switch on CellPhone_2,ToggleObjectOn(CellPhone_2)
Switch on CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Switch on CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Switch on CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Switch on DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Switch on DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Switch on DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Switch on Faucet_0,ToggleObjectOn(Faucet_0)
Switch on Faucet_1,ToggleObjectOn(Faucet_1)
Switch on Faucet_2,ToggleObjectOn(Faucet_2)
Switch on FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Switch on FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Switch on FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Switch on Laptop_0,ToggleObjectOn(Laptop_0)
Switch on Laptop_1,ToggleObjectOn(Laptop_1)
Switch on Laptop_2,ToggleObjectOn(Laptop_2)
Switch on LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Switch on LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Switch on LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Switch on Microwave_0,ToggleObjectOn(Microwave_0)
Switch on Microwave_1,ToggleObjectOn(Microwave_1)
Switch on Microwave_2,ToggleObjectOn(Microwave_2)
Switch on ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Switch on ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Switch on ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Switch on StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Switch on StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Switch on StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Switch on StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Switch on StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Switch on StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Switch on Television_0,ToggleObjectOn(Television_0)
Switch on Television_1,ToggleObjectOn(Television_1)
Switch on Television_2,ToggleObjectOn(Television_2)
Switch on Toaster_0,ToggleObjectOn(Toaster_0)
Switch on Toaster_1,ToggleObjectOn(Toaster_1)
Switch on Toaster_2,ToggleObjectOn(Toaster_2)
Engage object Candle_0,ToggleObjectOn(Candle_0)
Engage object Candle_1,ToggleObjectOn(Candle_1)
Engage object Candle_2,ToggleObjectOn(Candle_2)
Engage object CellPhone_0,ToggleObjectOn(CellPhone_0)
Engage object CellPhone_1,ToggleObjectOn(CellPhone_1)
Engage object CellPhone_2,ToggleObjectOn(CellPhone_2)
Engage object CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Engage object CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Engage object CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Engage object DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Engage object DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Engage object DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Engage object Faucet_0,ToggleObjectOn(Faucet_0)
Engage object Faucet_1,ToggleObjectOn(Faucet_1)
Engage object Faucet_2,ToggleObjectOn(Faucet_2)
Engage object FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Engage object FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Engage object FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Engage object Laptop_0,ToggleObjectOn(Laptop_0)
Engage object Laptop_1,ToggleObjectOn(Laptop_1)
Engage object Laptop_2,ToggleObjectOn(Laptop_2)
Engage object LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Engage object LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Engage object LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Engage object Microwave_0,ToggleObjectOn(Microwave_0)
Engage object Microwave_1,ToggleObjectOn(Microwave_1)
Engage object Microwave_2,ToggleObjectOn(Microwave_2)
Engage object ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Engage object ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Engage object ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Engage object StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Engage object StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Engage object StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Engage object StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Engage object StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Engage object StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Engage object Television_0,ToggleObjectOn(Television_0)
Engage object Television_1,ToggleObjectOn(Television_1)
Engage object Television_2,ToggleObjectOn(Television_2)
Engage object Toaster_0,ToggleObjectOn(Toaster_0)
Engage object Toaster_1,ToggleObjectOn(Toaster_1)
Engage object Toaster_2,ToggleObjectOn(Toaster_2)
Initiate object Candle_0,ToggleObjectOn(Candle_0)
Initiate object Candle_1,ToggleObjectOn(Candle_1)
Initiate object Candle_2,ToggleObjectOn(Candle_2)
Initiate object CellPhone_0,ToggleObjectOn(CellPhone_0)
Initiate object CellPhone_1,ToggleObjectOn(CellPhone_1)
Initiate object CellPhone_2,ToggleObjectOn(CellPhone_2)
Initiate object CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Initiate object CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Initiate object CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Initiate object DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Initiate object DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Initiate object DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Initiate object Faucet_0,ToggleObjectOn(Faucet_0)
Initiate object Faucet_1,ToggleObjectOn(Faucet_1)
Initiate object Faucet_2,ToggleObjectOn(Faucet_2)
Initiate object FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Initiate object FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Initiate object FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Initiate object Laptop_0,ToggleObjectOn(Laptop_0)
Initiate object Laptop_1,ToggleObjectOn(Laptop_1)
Initiate object Laptop_2,ToggleObjectOn(Laptop_2)
Initiate object LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Initiate object LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Initiate object LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Initiate object Microwave_0,ToggleObjectOn(Microwave_0)
Initiate object Microwave_1,ToggleObjectOn(Microwave_1)
Initiate object Microwave_2,ToggleObjectOn(Microwave_2)
Initiate object ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Initiate object ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Initiate object ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Initiate object StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Initiate object StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Initiate object StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Initiate object StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Initiate object StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Initiate object StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Initiate object Television_0,ToggleObjectOn(Television_0)
Initiate object Television_1,ToggleObjectOn(Television_1)
Initiate object Television_2,ToggleObjectOn(Television_2)
Initiate object Toaster_0,ToggleObjectOn(Toaster_0)
Initiate object Toaster_1,ToggleObjectOn(Toaster_1)
Initiate object Toaster_2,ToggleObjectOn(Toaster_2)
Toggle on Candle_0,ToggleObjectOn(Candle_0)
Toggle on Candle_1,ToggleObjectOn(Candle_1)
Toggle on Candle_2,ToggleObjectOn(Candle_2)
Toggle on CellPhone_0,ToggleObjectOn(CellPhone_0)
Toggle on CellPhone_1,ToggleObjectOn(CellPhone_1)
Toggle on CellPhone_2,ToggleObjectOn(CellPhone_2)
Toggle on CoffeeMachine_0,ToggleObjectOn(CoffeeMachine_0)
Toggle on CoffeeMachine_1,ToggleObjectOn(CoffeeMachine_1)
Toggle on CoffeeMachine_2,ToggleObjectOn(CoffeeMachine_2)
Toggle on DeskLamp_0,ToggleObjectOn(DeskLamp_0)
Toggle on DeskLamp_1,ToggleObjectOn(DeskLamp_1)
Toggle on DeskLamp_2,ToggleObjectOn(DeskLamp_2)
Toggle on Faucet_0,ToggleObjectOn(Faucet_0)
Toggle on Faucet_1,ToggleObjectOn(Faucet_1)
Toggle on Faucet_2,ToggleObjectOn(Faucet_2)
Toggle on FloorLamp_0,ToggleObjectOn(FloorLamp_0)
Toggle on FloorLamp_1,ToggleObjectOn(FloorLamp_1)
Toggle on FloorLamp_2,ToggleObjectOn(FloorLamp_2)
Toggle on Laptop_0,ToggleObjectOn(Laptop_0)
Toggle on Laptop_1,ToggleObjectOn(Laptop_1)
Toggle on Laptop_2,ToggleObjectOn(Laptop_2)
Toggle on LightSwitch_0,ToggleObjectOn(LightSwitch_0)
Toggle on LightSwitch_1,ToggleObjectOn(LightSwitch_1)
Toggle on LightSwitch_2,ToggleObjectOn(LightSwitch_2)
Toggle on Microwave_0,ToggleObjectOn(Microwave_0)
Toggle on Microwave_1,ToggleObjectOn(Microwave_1)
Toggle on Microwave_2,ToggleObjectOn(Microwave_2)
Toggle on ShowerHead_0,ToggleObjectOn(ShowerHead_0)
Toggle on ShowerHead_1,ToggleObjectOn(ShowerHead_1)
Toggle on ShowerHead_2,ToggleObjectOn(ShowerHead_2)
Toggle on StoveBurner_0,ToggleObjectOn(StoveBurner_0)
Toggle on StoveBurner_1,ToggleObjectOn(StoveBurner_1)
Toggle on StoveBurner_2,ToggleObjectOn(StoveBurner_2)
Toggle on StoveKnob_0,ToggleObjectOn(StoveKnob_0)
Toggle on StoveKnob_1,ToggleObjectOn(StoveKnob_1)
Toggle on StoveKnob_2,ToggleObjectOn(StoveKnob_2)
Toggle on Television_0,ToggleObjectOn(Television_0)
Toggle on Television_1,ToggleObjectOn(Television_1)
Toggle on Television_2,ToggleObjectOn(Television_2)
Toggle on Toaster_0,ToggleObjectOn(Toaster_0)
Toggle on Toaster_1,ToggleObjectOn(Toaster_1)
Toggle on Toaster_2,ToggleObjectOn(Toaster_2)
