Task,Function
Set down item Spoon_1,PutObject(Spoon_1)
Set down item Pot_0,PutObject(Pot_0)
Set down item Pot_1,PutObject(Pot_1)
Set down item Box_0,PutObject(Box_0)
Set down item Box_1,PutObject(Box_1)
Place object ScrubBrush_0,PutObject(ScrubBrush_0)
Place object ScrubBrush_1,PutObject(ScrubBrush_1)
Place object Pan_0,PutObject(Pan_0)
Place object Pan_1,PutObject(Pan_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object Plunger_0,PutObject(Plunger_0)
Place object Plunger_1,PutObject(Plunger_1)
Place object Book_0,PutObject(Book_0)
Place object Book_1,PutObject(Book_1)
Place object Newspaper_0,PutObject(Newspaper_0)
Place object Newspaper_1,PutObject(Newspaper_1)
Place object Lettuce_0,PutObject(Lettuce_0)
Place object Lettuce_1,PutObject(Lettuce_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object ToiletPaper_0,PutObject(ToiletPaper_0)
Place object ToiletPaper_1,PutObject(ToiletPaper_1)
Place object Spoon_0,PutObject(Spoon_0)
Place object Spoon_1,PutObject(Spoon_1)
Place object Pot_0,PutObject(Pot_0)
Place object Pot_1,PutObject(Pot_1)
Place object Box_0,PutObject(Box_0)
Place object Box_1,PutObject(Box_1)
Position object ScrubBrush_0,PutObject(ScrubBrush_0)
Position object ScrubBrush_1,PutObject(ScrubBrush_1)
Position object Pan_0,PutObject(Pan_0)
Position object Pan_1,PutObject(Pan_1)
Position object Egg_0,PutObject(Egg_0)
Position object Egg_1,PutObject(Egg_1)
Position object Plunger_0,PutObject(Plunger_0)
Position object Plunger_1,PutObject(Plunger_1)
Position object Book_0,PutObject(Book_0)
Position object Book_1,PutObject(Book_1)
Position object Newspaper_0,PutObject(Newspaper_0)
Position object Newspaper_1,PutObject(Newspaper_1)
Position object Lettuce_0,PutObject(Lettuce_0)
Position object Lettuce_1,PutObject(Lettuce_1)
Position object Egg_0,PutObject(Egg_0)
Position object Egg_1,PutObject(Egg_1)
Position object ToiletPaper_0,PutObject(ToiletPaper_0)
Position object ToiletPaper_1,PutObject(ToiletPaper_1)
Position object Spoon_0,PutObject(Spoon_0)
Position object Spoon_1,PutObject(Spoon_1)
Position object Pot_0,PutObject(Pot_0)
Position object Pot_1,PutObject(Pot_1)
Position object Box_0,PutObject(Box_0)
Position object Box_1,PutObject(Box_1)
Set the object in it's place ScrubBrush_0,PutObject(ScrubBrush_0)
Set the object in it's place ScrubBrush_1,PutObject(ScrubBrush_1)
Set the object in it's place Pan_0,PutObject(Pan_0)
Set the object in it's place Pan_1,PutObject(Pan_1)
Set the object in it's place Egg_0,PutObject(Egg_0)
Set the object in it's place Egg_1,PutObject(Egg_1)
Set the object in it's place Plunger_0,PutObject(Plunger_0)
Set the object in it's place Plunger_1,PutObject(Plunger_1)
Set the object in it's place Book_0,PutObject(Book_0)
Set the object in it's place Book_1,PutObject(Book_1)
Set the object in it's place Newspaper_0,PutObject(Newspaper_0)
Set the object in it's place Newspaper_1,PutObject(Newspaper_1)
Set the object in it's place Lettuce_0,PutObject(Lettuce_0)
Set the object in it's place Lettuce_1,PutObject(Lettuce_1)
Set the object in it's place Egg_0,PutObject(Egg_0)
Set the object in it's place Egg_1,PutObject(Egg_1)
Set the object in it's place ToiletPaper_0,PutObject(ToiletPaper_0)
Set the object in it's place ToiletPaper_1,PutObject(ToiletPaper_1)
Set the object in it's place Spoon_0,PutObject(Spoon_0)
Set the object in it's place Spoon_1,PutObject(Spoon_1)
Set the object in it's place Pot_0,PutObject(Pot_0)
Set the object in it's place Pot_1,PutObject(Pot_1)
Set the object in it's place Box_0,PutObject(Box_0)
Set the object in it's place Box_1,PutObject(Box_1)
