Task,Function
Go to Box_1,NavigateTo(Box_1)
Move towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Move towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Move towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Move towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Move towards Pan_0,NavigateTo(Pan_0)
Move towards Pan_1,NavigateTo(Pan_1)
Move towards Cup_0,NavigateTo(Cup_0)
Move towards Cup_1,NavigateTo(Cup_1)
Move towards Shelf_0,NavigateTo(Shelf_0)
Move towards Shelf_1,NavigateTo(Shelf_1)
Move towards Bed_0,NavigateTo(Bed_0)
Move towards Bed_1,NavigateTo(Bed_1)
Move towards ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Move towards ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Move towards Bed_0,NavigateTo(Bed_0)
Move towards Bed_1,NavigateTo(Bed_1)
Move towards Cup_0,NavigateTo(Cup_0)
Move towards Cup_1,NavigateTo(Cup_1)
Move towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Move towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Move towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Move towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Move towards Box_0,NavigateTo(Box_0)
Move towards Box_1,NavigateTo(Box_1)
Make your way to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Make your way to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Make your way to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Make your way to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Make your way to Pan_0,NavigateTo(Pan_0)
Make your way to Pan_1,NavigateTo(Pan_1)
Make your way to Cup_0,NavigateTo(Cup_0)
Make your way to Cup_1,NavigateTo(Cup_1)
Make your way to Shelf_0,NavigateTo(Shelf_0)
Make your way to Shelf_1,NavigateTo(Shelf_1)
Make your way to Bed_0,NavigateTo(Bed_0)
Make your way to Bed_1,NavigateTo(Bed_1)
Make your way to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Make your way to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Make your way to Bed_0,NavigateTo(Bed_0)
Make your way to Bed_1,NavigateTo(Bed_1)
Make your way to Cup_0,NavigateTo(Cup_0)
Make your way to Cup_1,NavigateTo(Cup_1)
Make your way to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Make your way to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Make your way to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Make your way to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Make your way to Box_0,NavigateTo(Box_0)
Make your way to Box_1,NavigateTo(Box_1)
Travel to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Travel to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Travel to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Travel to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Travel to Pan_0,NavigateTo(Pan_0)
Travel to Pan_1,NavigateTo(Pan_1)
Travel to Cup_0,NavigateTo(Cup_0)
Travel to Cup_1,NavigateTo(Cup_1)
Travel to Shelf_0,NavigateTo(Shelf_0)
Travel to Shelf_1,NavigateTo(Shelf_1)
Travel to Bed_0,NavigateTo(Bed_0)
Travel to Bed_1,NavigateTo(Bed_1)
Travel to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Travel to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Travel to Bed_0,NavigateTo(Bed_0)
Travel to Bed_1,NavigateTo(Bed_1)
Travel to Cup_0,NavigateTo(Cup_0)
Travel to Cup_1,NavigateTo(Cup_1)
Travel to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Travel to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Travel to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Travel to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Travel to Box_0,NavigateTo(Box_0)
Travel to Box_1,NavigateTo(Box_1)
