Task,Function
Section Lettuce_0,SliceObject(Lettuce_0)
Section Lettuce_1,SliceObject(Lettuce_1)
Section Egg_0,SliceObject(Egg_0)
Section Egg_1,SliceObject(Egg_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Section Bread_0,SliceObject(Bread_0)
Section Bread_1,SliceObject(Bread_1)
Section Tomato_0,SliceObject(Tomato_0)
Section Tomato_1,SliceObject(Tomato_1)
Section Bread_0,SliceObject(Bread_0)
Section Bread_1,SliceObject(Bread_1)
Section Tomato_0,SliceObject(Tomato_0)
Section Tomato_1,SliceObject(Tomato_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Lettuce_0,SliceObject(Lettuce_0)
Chop Lettuce_1,SliceObject(Lettuce_1)
Chop Egg_0,SliceObject(Egg_0)
Chop Egg_1,SliceObject(Egg_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Tomato_0,SliceObject(Tomato_0)
Chop Tomato_1,SliceObject(Tomato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Tomato_0,SliceObject(Tomato_0)
Chop Tomato_1,SliceObject(Tomato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
