Task,Function
Turn off LightSwitch_0,ToggleObjectOff(LightSwitch_0)
Turn off LightSwitch_1,ToggleObjectOff(LightSwitch_1)
Turn off LightSwitch_2,ToggleObjectOff(LightSwitch_2)
Turn off Microwave_0,ToggleObjectOff(Microwave_0)
Turn off Microwave_1,ToggleObjectOff(Microwave_1)
Turn off Microwave_2,ToggleObjectOff(Microwave_2)
Turn off ShowerHead_0,ToggleObjectOff(ShowerHead_0)
Turn off ShowerHead_1,ToggleObjectOff(ShowerHead_1)
Turn off ShowerHead_2,ToggleObjectOff(ShowerHead_2)
Turn off StoveBurner_0,ToggleObjectOff(StoveBurner_0)
Turn off StoveBurner_1,ToggleObjectOff(StoveBurner_1)
Turn off StoveBurner_2,ToggleObjectOff(StoveBurner_2)
Turn off StoveKnob_0,ToggleObjectOff(StoveKnob_0)
Turn off StoveKnob_1,ToggleObjectOff(StoveKnob_1)
Turn off StoveKnob_2,ToggleObjectOff(StoveKnob_2)
Turn off Television_0,ToggleObjectOff(Television_0)
Turn off Television_1,ToggleObjectOff(Television_1)
Turn off Television_2,ToggleObjectOff(Television_2)
Turn off Toaster_0,ToggleObjectOff(Toaster_0)
Turn off Toaster_1,ToggleObjectOff(Toaster_1)
Turn off Toaster_2,ToggleObjectOff(Toaster_2)
Switch off Candle_0,ToggleObjectOff(Candle_0)
Switch off Candle_1,ToggleObjectOff(Candle_1)
Switch off Candle_2,ToggleObjectOff(Candle_2)
Switch off CellPhone_0,ToggleObjectOff(CellPhone_0)
Switch off CellPhone_1,ToggleObjectOff(CellPhone_1)
Switch off CellPhone_2,ToggleObjectOff(CellPhone_2)
Switch off CoffeeMachine_0,ToggleObjectOff(CoffeeMachine_0)
Switch off CoffeeMachine_1,ToggleObjectOff(CoffeeMachine_1)
Switch off CoffeeMachine_2,ToggleObjectOff(CoffeeMachine_2)
Switch off DeskLamp_0,ToggleObjectOff(DeskLamp_0)
Switch off DeskLamp_1,ToggleObjectOff(DeskLamp_1)
Switch off DeskLamp_2,ToggleObjectOff(DeskLamp_2)
Switch off Faucet_0,ToggleObjectOff(Faucet_0)
Switch off Faucet_1,ToggleObjectOff(Faucet_1)
Switch off Faucet_2,ToggleObjectOff(Faucet_2)
Switch off FloorLamp_0,ToggleObjectOff(FloorLamp_0)
Switch off FloorLamp_1,ToggleObjectOff(FloorLamp_1)
Switch off FloorLamp_2,ToggleObjectOff(FloorLamp_2)
Switch off Laptop_0,ToggleObjectOff(Laptop_0)
Switch off Laptop_1,ToggleObjectOff(Laptop_1)
Switch off Laptop_2,ToggleObjectOff(Laptop_2)
Switch off LightSwitch_0,ToggleObjectOff(LightSwitch_0)
Switch off LightSwitch_1,ToggleObjectOff(LightSwitch_1)
Switch off LightSwitch_2,ToggleObjectOff(LightSwitch_2)
Switch off Microwave_0,ToggleObjectOff(Microwave_0)
Switch off Microwave_1,ToggleObjectOff(Microwave_1)
Switch off Microwave_2,ToggleObjectOff(Microwave_2)
Switch off ShowerHead_0,ToggleObjectOff(ShowerHead_0)
Switch off ShowerHead_1,ToggleObjectOff(ShowerHead_1)
Switch off ShowerHead_2,ToggleObjectOff(ShowerHead_2)
Switch off StoveBurner_0,ToggleObjectOff(StoveBurner_0)
Switch off StoveBurner_1,ToggleObjectOff(StoveBurner_1)
Switch off StoveBurner_2,ToggleObjectOff(StoveBurner_2)
Switch off StoveKnob_0,ToggleObjectOff(StoveKnob_0)
Switch off StoveKnob_1,ToggleObjectOff(StoveKnob_1)
Switch off StoveKnob_2,ToggleObjectOff(StoveKnob_2)
Switch off Television_0,ToggleObjectOff(Television_0)
Switch off Television_1,ToggleObjectOff(Television_1)
Switch off Television_2,ToggleObjectOff(Television_2)
Switch off Toaster_0,ToggleObjectOff(Toaster_0)
Switch off Toaster_1,ToggleObjectOff(Toaster_1)
Switch off Toaster_2,ToggleObjectOff(Toaster_2)
Disengage object Candle_0,ToggleObjectOff(Candle_0)
Disengage object Candle_1,ToggleObjectOff(Candle_1)
Disengage object Candle_2,ToggleObjectOff(Candle_2)
Disengage object CellPhone_0,ToggleObjectOff(CellPhone_0)
Disengage object CellPhone_1,ToggleObjectOff(CellPhone_1)
Disengage object CellPhone_2,ToggleObjectOff(CellPhone_2)
Disengage object CoffeeMachine_0,ToggleObjectOff(CoffeeMachine_0)
Disengage object CoffeeMachine_1,ToggleObjectOff(CoffeeMachine_1)
Disengage object CoffeeMachine_2,ToggleObjectOff(CoffeeMachine_2)
Disengage object DeskLamp_0,ToggleObjectOff(DeskLamp_0)
Disengage object DeskLamp_1,ToggleObjectOff(DeskLamp_1)
Disengage object DeskLamp_2,ToggleObjectOff(DeskLamp_2)
Disengage object Faucet_0,ToggleObjectOff(Faucet_0)
Disengage object Faucet_1,ToggleObjectOff(Faucet_1)
Disengage object Faucet_2,ToggleObjectOff(Faucet_2)
Disengage object FloorLamp_0,ToggleObjectOff(FloorLamp_0)
Disengage object FloorLamp_1,ToggleObjectOff(FloorLamp_1)
Disengage object FloorLamp_2,ToggleObjectOff(FloorLamp_2)
Disengage object Laptop_0,ToggleObjectOff(Laptop_0)
Disengage object Laptop_1,ToggleObjectOff(Laptop_1)
Disengage object Laptop_2,ToggleObjectOff(Laptop_2)
Disengage object LightSwitch_0,ToggleObjectOff(LightSwitch_0)
Disengage object LightSwitch_1,ToggleObjectOff(LightSwitch_1)
Disengage object LightSwitch_2,ToggleObjectOff(LightSwitch_2)
Disengage object Microwave_0,ToggleObjectOff(Microwave_0)
Disengage object Microwave_1,ToggleObjectOff(Microwave_1)
Disengage object Microwave_2,ToggleObjectOff(Microwave_2)
Disengage object ShowerHead_0,ToggleObjectOff(ShowerHead_0)
Disengage object ShowerHead_1,ToggleObjectOff(ShowerHead_1)
Disengage object ShowerHead_2,ToggleObjectOff(ShowerHead_2)
Disengage object StoveBurner_0,ToggleObjectOff(StoveBurner_0)
Disengage object StoveBurner_1,ToggleObjectOff(StoveBurner_1)
Disengage object StoveBurner_2,ToggleObjectOff(StoveBurner_2)
Disengage object StoveKnob_0,ToggleObjectOff(StoveKnob_0)
Disengage object StoveKnob_1,ToggleObjectOff(StoveKnob_1)
Disengage object StoveKnob_2,ToggleObjectOff(StoveKnob_2)
Disengage object Television_0,ToggleObjectOff(Television_0)
Disengage object Television_1,ToggleObjectOff(Television_1)
Disengage object Television_2,ToggleObjectOff(Television_2)
Disengage object Toaster_0,ToggleObjectOff(Toaster_0)
Disengage object Toaster_1,ToggleObjectOff(Toaster_1)
Disengage object Toaster_2,ToggleObjectOff(Toaster_2)
Toggle off Candle_0,ToggleObjectOff(Candle_0)
Toggle off Candle_1,ToggleObjectOff(Candle_1)
Toggle off Candle_2,ToggleObjectOff(Candle_2)
Toggle off CellPhone_0,ToggleObjectOff(CellPhone_0)
Toggle off CellPhone_1,ToggleObjectOff(CellPhone_1)
Toggle off CellPhone_2,ToggleObjectOff(CellPhone_2)
Toggle off CoffeeMachine_0,ToggleObjectOff(CoffeeMachine_0)
Toggle off CoffeeMachine_1,ToggleObjectOff(CoffeeMachine_1)
Toggle off CoffeeMachine_2,ToggleObjectOff(CoffeeMachine_2)
Toggle off DeskLamp_0,ToggleObjectOff(DeskLamp_0)
Toggle off DeskLamp_1,ToggleObjectOff(DeskLamp_1)
Toggle off DeskLamp_2,ToggleObjectOff(DeskLamp_2)
Toggle off Faucet_0,ToggleObjectOff(Faucet_0)
Toggle off Faucet_1,ToggleObjectOff(Faucet_1)
Toggle off Faucet_2,ToggleObjectOff(Faucet_2)
Toggle off FloorLamp_0,ToggleObjectOff(FloorLamp_0)
Toggle off FloorLamp_1,ToggleObjectOff(FloorLamp_1)
Toggle off FloorLamp_2,ToggleObjectOff(FloorLamp_2)
Toggle off Laptop_0,ToggleObjectOff(Laptop_0)
Toggle off Laptop_1,ToggleObjectOff(Laptop_1)
Toggle off Laptop_2,ToggleObjectOff(Laptop_2)
Toggle off LightSwitch_0,ToggleObjectOff(LightSwitch_0)
Toggle off LightSwitch_1,ToggleObjectOff(LightSwitch_1)
Toggle off LightSwitch_2,ToggleObjectOff(LightSwitch_2)
Toggle off Microwave_0,ToggleObjectOff(Microwave_0)
Toggle off Microwave_1,ToggleObjectOff(Microwave_1)
Toggle off Microwave_2,ToggleObjectOff(Microwave_2)
Toggle off ShowerHead_0,ToggleObjectOff(ShowerHead_0)
Toggle off ShowerHead_1,ToggleObjectOff(ShowerHead_1)
Toggle off ShowerHead_2,ToggleObjectOff(ShowerHead_2)
Toggle off StoveBurner_0,ToggleObjectOff(StoveBurner_0)
Toggle off StoveBurner_1,ToggleObjectOff(StoveBurner_1)
Toggle off StoveBurner_2,ToggleObjectOff(StoveBurner_2)
Toggle off StoveKnob_0,ToggleObjectOff(StoveKnob_0)
Toggle off StoveKnob_1,ToggleObjectOff(StoveKnob_1)
Toggle off StoveKnob_2,ToggleObjectOff(StoveKnob_2)
Toggle off Television_0,ToggleObjectOff(Television_0)
Toggle off Television_1,ToggleObjectOff(Television_1)
Toggle off Television_2,ToggleObjectOff(Television_2)
Toggle off Toaster_0,ToggleObjectOff(Toaster_0)
Toggle off Toaster_1,ToggleObjectOff(Toaster_1)
Toggle off Toaster_2,ToggleObjectOff(Toaster_2)
