Task,Function
Pickup object Ladle_1,PickupObject(Ladle_1)
Pickup object Ladle_2,PickupObject(Ladle_2)
Pickup object Laptop_0,PickupObject(Laptop_0)
Pickup object Laptop_1,PickupObject(Laptop_1)
Pickup object Laptop_2,PickupObject(Laptop_2)
Pickup object Lettuce_0,PickupObject(Lettuce_0)
Pickup object Lettuce_1,PickupObject(Lettuce_1)
Pickup object Lettuce_2,PickupObject(Lettuce_2)
Pickup object LettuceSliced_0,PickupObject(LettuceSliced_0)
Pickup object LettuceSliced_1,PickupObject(LettuceSliced_1)
Pickup object LettuceSliced_2,PickupObject(LettuceSliced_2)
Pickup object Mug_0,PickupObject(Mug_0)
Pickup object Mug_1,PickupObject(Mug_1)
Pickup object Mug_2,PickupObject(Mug_2)
Pickup object Newspaper_0,PickupObject(Newspaper_0)
Pickup object Newspaper_1,PickupObject(Newspaper_1)
Pickup object Newspaper_2,PickupObject(Newspaper_2)
Pickup object Pan_0,PickupObject(Pan_0)
Pickup object Pan_1,PickupObject(Pan_1)
Pickup object Pan_2,PickupObject(Pan_2)
Pickup object PaperTowel_0,PickupObject(PaperTowel_0)
Pickup object PaperTowel_1,PickupObject(PaperTowel_1)
Pickup object PaperTowel_2,PickupObject(PaperTowel_2)
Pickup object Pen_0,PickupObject(Pen_0)
Pickup object Pen_1,PickupObject(Pen_1)
Pickup object Pen_2,PickupObject(Pen_2)
Pickup object Pencil_0,PickupObject(Pencil_0)
Pickup object Pencil_1,PickupObject(Pencil_1)
Pickup object Pencil_2,PickupObject(Pencil_2)
Pickup object PepperShaker_0,PickupObject(PepperShaker_0)
Pickup object PepperShaker_1,PickupObject(PepperShaker_1)
Pickup object PepperShaker_2,PickupObject(PepperShaker_2)
Pickup object Pillow_0,PickupObject(Pillow_0)
Pickup object Pillow_1,PickupObject(Pillow_1)
Pickup object Pillow_2,PickupObject(Pillow_2)
Pickup object Plate_0,PickupObject(Plate_0)
Pickup object Plate_1,PickupObject(Plate_1)
Pickup object Plate_2,PickupObject(Plate_2)
Pickup object Plunger_0,PickupObject(Plunger_0)
Pickup object Plunger_1,PickupObject(Plunger_1)
Pickup object Plunger_2,PickupObject(Plunger_2)
Pickup object Pot_0,PickupObject(Pot_0)
Pickup object Pot_1,PickupObject(Pot_1)
Pickup object Pot_2,PickupObject(Pot_2)
Pickup object Potato_0,PickupObject(Potato_0)
Pickup object Potato_1,PickupObject(Potato_1)
Pickup object Potato_2,PickupObject(Potato_2)
Pickup object PotatoSliced_0,PickupObject(PotatoSliced_0)
Pickup object PotatoSliced_1,PickupObject(PotatoSliced_1)
Pickup object PotatoSliced_2,PickupObject(PotatoSliced_2)
Pickup object RemoteControl_0,PickupObject(RemoteControl_0)
Pickup object RemoteControl_1,PickupObject(RemoteControl_1)
Pickup object RemoteControl_2,PickupObject(RemoteControl_2)
Pickup object SaltShaker_0,PickupObject(SaltShaker_0)
Pickup object SaltShaker_1,PickupObject(SaltShaker_1)
Pickup object SaltShaker_2,PickupObject(SaltShaker_2)
Pickup object ScrubBrush_0,PickupObject(ScrubBrush_0)
Pickup object ScrubBrush_1,PickupObject(ScrubBrush_1)
Pickup object ScrubBrush_2,PickupObject(ScrubBrush_2)
Pickup object SoapBar_0,PickupObject(SoapBar_0)
Pickup object SoapBar_1,PickupObject(SoapBar_1)
Pickup object SoapBar_2,PickupObject(SoapBar_2)
Pickup object SoapBottle_0,PickupObject(SoapBottle_0)
Pickup object SoapBottle_1,PickupObject(SoapBottle_1)
Pickup object SoapBottle_2,PickupObject(SoapBottle_2)
Pickup object Spatula_0,PickupObject(Spatula_0)
Pickup object Spatula_1,PickupObject(Spatula_1)
Pickup object Spatula_2,PickupObject(Spatula_2)
Pickup object Spoon_0,PickupObject(Spoon_0)
Pickup object Spoon_1,PickupObject(Spoon_1)
Pickup object Spoon_2,PickupObject(Spoon_2)
Pickup object SprayBottle_0,PickupObject(SprayBottle_0)
Pickup object SprayBottle_1,PickupObject(SprayBottle_1)
Pickup object SprayBottle_2,PickupObject(SprayBottle_2)
Pickup object Statue_0,PickupObject(Statue_0)
Pickup object Statue_1,PickupObject(Statue_1)
Pickup object Statue_2,PickupObject(Statue_2)
Pickup object TeddyBear_0,PickupObject(TeddyBear_0)
Pickup object TeddyBear_1,PickupObject(TeddyBear_1)
Pickup object TeddyBear_2,PickupObject(TeddyBear_2)
Pickup object TennisRacket_0,PickupObject(TennisRacket_0)
Pickup object TennisRacket_1,PickupObject(TennisRacket_1)
Pickup object TennisRacket_2,PickupObject(TennisRacket_2)
Pickup object TissueBox_0,PickupObject(TissueBox_0)
Pickup object TissueBox_1,PickupObject(TissueBox_1)
Pickup object TissueBox_2,PickupObject(TissueBox_2)
Pickup object ToiletPaper_0,PickupObject(ToiletPaper_0)
Pickup object ToiletPaper_1,PickupObject(ToiletPaper_1)
Pickup object ToiletPaper_2,PickupObject(ToiletPaper_2)
Pickup object Tomato_0,PickupObject(Tomato_0)
Pickup object Tomato_1,PickupObject(Tomato_1)
Pickup object Tomato_2,PickupObject(Tomato_2)
Pickup object TomatoSliced_0,PickupObject(TomatoSliced_0)
Pickup object TomatoSliced_1,PickupObject(TomatoSliced_1)
Pickup object TomatoSliced_2,PickupObject(TomatoSliced_2)
Pickup object Towel_0,PickupObject(Towel_0)
Pickup object Towel_1,PickupObject(Towel_1)
Pickup object Towel_2,PickupObject(Towel_2)
Pickup object Vase_0,PickupObject(Vase_0)
Pickup object Vase_1,PickupObject(Vase_1)
Pickup object Vase_2,PickupObject(Vase_2)
Pickup object Watch_0,PickupObject(Watch_0)
Pickup object Watch_1,PickupObject(Watch_1)
Pickup object Watch_2,PickupObject(Watch_2)
Pickup object WateringCan_0,PickupObject(WateringCan_0)
Pickup object WateringCan_1,PickupObject(WateringCan_1)
Pickup object WateringCan_2,PickupObject(WateringCan_2)
Pickup object WineBottle_0,PickupObject(WineBottle_0)
Pickup object WineBottle_1,PickupObject(WineBottle_1)
Pickup object WineBottle_2,PickupObject(WineBottle_2)
Lift item AlarmClock_0,PickupObject(AlarmClock_0)
Lift item AlarmClock_1,PickupObject(AlarmClock_1)
Lift item AlarmClock_2,PickupObject(AlarmClock_2)
Lift item Apple_0,PickupObject(Apple_0)
Lift item Apple_1,PickupObject(Apple_1)
Lift item Apple_2,PickupObject(Apple_2)
Lift item AppleSliced_0,PickupObject(AppleSliced_0)
Lift item AppleSliced_1,PickupObject(AppleSliced_1)
Lift item AppleSliced_2,PickupObject(AppleSliced_2)
Lift item BaseballBat_0,PickupObject(BaseballBat_0)
Lift item BaseballBat_1,PickupObject(BaseballBat_1)
Lift item BaseballBat_2,PickupObject(BaseballBat_2)
Lift item BasketBall_0,PickupObject(BasketBall_0)
Lift item BasketBall_1,PickupObject(BasketBall_1)
Lift item BasketBall_2,PickupObject(BasketBall_2)
Lift item Book_0,PickupObject(Book_0)
Lift item Book_1,PickupObject(Book_1)
Lift item Book_2,PickupObject(Book_2)
Lift item Boots_0,PickupObject(Boots_0)
Lift item Boots_1,PickupObject(Boots_1)
Lift item Boots_2,PickupObject(Boots_2)
Lift item Bottle_0,PickupObject(Bottle_0)
Lift item Bottle_1,PickupObject(Bottle_1)
Lift item Bottle_2,PickupObject(Bottle_2)
Lift item Bowl_0,PickupObject(Bowl_0)
Lift item Bowl_1,PickupObject(Bowl_1)
Lift item Bowl_2,PickupObject(Bowl_2)
Lift item Box_0,PickupObject(Box_0)
Lift item Box_1,PickupObject(Box_1)
Lift item Box_2,PickupObject(Box_2)
Lift item Bread_0,PickupObject(Bread_0)
Lift item Bread_1,PickupObject(Bread_1)
Lift item Bread_2,PickupObject(Bread_2)
Lift item BreadSliced_0,PickupObject(BreadSliced_0)
Lift item BreadSliced_1,PickupObject(BreadSliced_1)
Lift item BreadSliced_2,PickupObject(BreadSliced_2)
Lift item ButterKnife_0,PickupObject(ButterKnife_0)
Lift item ButterKnife_1,PickupObject(ButterKnife_1)
Lift item ButterKnife_2,PickupObject(ButterKnife_2)
Lift item Candle_0,PickupObject(Candle_0)
Lift item Candle_1,PickupObject(Candle_1)
Lift item Candle_2,PickupObject(Candle_2)
Lift item CD_0,PickupObject(CD_0)
Lift item CD_1,PickupObject(CD_1)
Lift item CD_2,PickupObject(CD_2)
Lift item CellPhone_0,PickupObject(CellPhone_0)
Lift item CellPhone_1,PickupObject(CellPhone_1)
Lift item CellPhone_2,PickupObject(CellPhone_2)
Lift item Cloth_0,PickupObject(Cloth_0)
Lift item Cloth_1,PickupObject(Cloth_1)
Lift item Cloth_2,PickupObject(Cloth_2)
Lift item CreditCard_0,PickupObject(CreditCard_0)
Lift item CreditCard_1,PickupObject(CreditCard_1)
Lift item CreditCard_2,PickupObject(CreditCard_2)
Lift item Cup_0,PickupObject(Cup_0)
Lift item Cup_1,PickupObject(Cup_1)
Lift item Cup_2,PickupObject(Cup_2)
Lift item DishSponge_0,PickupObject(DishSponge_0)
Lift item DishSponge_1,PickupObject(DishSponge_1)
Lift item DishSponge_2,PickupObject(DishSponge_2)
Lift item Egg_0,PickupObject(Egg_0)
Lift item Egg_1,PickupObject(Egg_1)
Lift item Egg_2,PickupObject(Egg_2)
Lift item EggCracked_0,PickupObject(EggCracked_0)
Lift item EggCracked_1,PickupObject(EggCracked_1)
Lift item EggCracked_2,PickupObject(EggCracked_2)
Lift item Fork_0,PickupObject(Fork_0)
Lift item Fork_1,PickupObject(Fork_1)
Lift item Fork_2,PickupObject(Fork_2)
Lift item HandTowel_0,PickupObject(HandTowel_0)
Lift item HandTowel_1,PickupObject(HandTowel_1)
Lift item HandTowel_2,PickupObject(HandTowel_2)
Lift item Kettle_0,PickupObject(Kettle_0)
Lift item Kettle_1,PickupObject(Kettle_1)
Lift item Kettle_2,PickupObject(Kettle_2)
Lift item KeyChain_0,PickupObject(KeyChain_0)
Lift item KeyChain_1,PickupObject(KeyChain_1)
Lift item KeyChain_2,PickupObject(KeyChain_2)
Lift item Knife_0,PickupObject(Knife_0)
Lift item Knife_1,PickupObject(Knife_1)
Lift item Knife_2,PickupObject(Knife_2)
Lift item Ladle_0,PickupObject(Ladle_0)
Lift item Ladle_1,PickupObject(Ladle_1)
Lift item Ladle_2,PickupObject(Ladle_2)
Lift item Laptop_0,PickupObject(Laptop_0)
Lift item Laptop_1,PickupObject(Laptop_1)
Lift item Laptop_2,PickupObject(Laptop_2)
Lift item Lettuce_0,PickupObject(Lettuce_0)
Lift item Lettuce_1,PickupObject(Lettuce_1)
Lift item Lettuce_2,PickupObject(Lettuce_2)
Lift item LettuceSliced_0,PickupObject(LettuceSliced_0)
Lift item LettuceSliced_1,PickupObject(LettuceSliced_1)
Lift item LettuceSliced_2,PickupObject(LettuceSliced_2)
Lift item Mug_0,PickupObject(Mug_0)
Lift item Mug_1,PickupObject(Mug_1)
Lift item Mug_2,PickupObject(Mug_2)
Lift item Newspaper_0,PickupObject(Newspaper_0)
Lift item Newspaper_1,PickupObject(Newspaper_1)
Lift item Newspaper_2,PickupObject(Newspaper_2)
Lift item Pan_0,PickupObject(Pan_0)
Lift item Pan_1,PickupObject(Pan_1)
Lift item Pan_2,PickupObject(Pan_2)
Lift item PaperTowel_0,PickupObject(PaperTowel_0)
Lift item PaperTowel_1,PickupObject(PaperTowel_1)
Lift item PaperTowel_2,PickupObject(PaperTowel_2)
Lift item Pen_0,PickupObject(Pen_0)
Lift item Pen_1,PickupObject(Pen_1)
Lift item Pen_2,PickupObject(Pen_2)
Lift item Pencil_0,PickupObject(Pencil_0)
Lift item Pencil_1,PickupObject(Pencil_1)
Lift item Pencil_2,PickupObject(Pencil_2)
Lift item PepperShaker_0,PickupObject(PepperShaker_0)
Lift item PepperShaker_1,PickupObject(PepperShaker_1)
Lift item PepperShaker_2,PickupObject(PepperShaker_2)
Lift item Pillow_0,PickupObject(Pillow_0)
Lift item Pillow_1,PickupObject(Pillow_1)
Lift item Pillow_2,PickupObject(Pillow_2)
Lift item Plate_0,PickupObject(Plate_0)
Lift item Plate_1,PickupObject(Plate_1)
Lift item Plate_2,PickupObject(Plate_2)
Lift item Plunger_0,PickupObject(Plunger_0)
Lift item Plunger_1,PickupObject(Plunger_1)
Lift item Plunger_2,PickupObject(Plunger_2)
Lift item Pot_0,PickupObject(Pot_0)
Lift item Pot_1,PickupObject(Pot_1)
Lift item Pot_2,PickupObject(Pot_2)
Lift item Potato_0,PickupObject(Potato_0)
Lift item Potato_1,PickupObject(Potato_1)
Lift item Potato_2,PickupObject(Potato_2)
Lift item PotatoSliced_0,PickupObject(PotatoSliced_0)
Lift item PotatoSliced_1,PickupObject(PotatoSliced_1)
Lift item PotatoSliced_2,PickupObject(PotatoSliced_2)
Lift item RemoteControl_0,PickupObject(RemoteControl_0)
Lift item RemoteControl_1,PickupObject(RemoteControl_1)
Lift item RemoteControl_2,PickupObject(RemoteControl_2)
Lift item SaltShaker_0,PickupObject(SaltShaker_0)
Lift item SaltShaker_1,PickupObject(SaltShaker_1)
Lift item SaltShaker_2,PickupObject(SaltShaker_2)
Lift item ScrubBrush_0,PickupObject(ScrubBrush_0)
Lift item ScrubBrush_1,PickupObject(ScrubBrush_1)
Lift item ScrubBrush_2,PickupObject(ScrubBrush_2)
Lift item SoapBar_0,PickupObject(SoapBar_0)
Lift item SoapBar_1,PickupObject(SoapBar_1)
Lift item SoapBar_2,PickupObject(SoapBar_2)
Lift item SoapBottle_0,PickupObject(SoapBottle_0)
Lift item SoapBottle_1,PickupObject(SoapBottle_1)
Lift item SoapBottle_2,PickupObject(SoapBottle_2)
Lift item Spatula_0,PickupObject(Spatula_0)
Lift item Spatula_1,PickupObject(Spatula_1)
Lift item Spatula_2,PickupObject(Spatula_2)
Lift item Spoon_0,PickupObject(Spoon_0)
Lift item Spoon_1,PickupObject(Spoon_1)
Lift item Spoon_2,PickupObject(Spoon_2)
Lift item SprayBottle_0,PickupObject(SprayBottle_0)
Lift item SprayBottle_1,PickupObject(SprayBottle_1)
Lift item SprayBottle_2,PickupObject(SprayBottle_2)
Lift item Statue_0,PickupObject(Statue_0)
Lift item Statue_1,PickupObject(Statue_1)
Lift item Statue_2,PickupObject(Statue_2)
Lift item TeddyBear_0,PickupObject(TeddyBear_0)
Lift item TeddyBear_1,PickupObject(TeddyBear_1)
Lift item TeddyBear_2,PickupObject(TeddyBear_2)
Lift item TennisRacket_0,PickupObject(TennisRacket_0)
Lift item TennisRacket_1,PickupObject(TennisRacket_1)
Lift item TennisRacket_2,PickupObject(TennisRacket_2)
Lift item TissueBox_0,PickupObject(TissueBox_0)
Lift item TissueBox_1,PickupObject(TissueBox_1)
Lift item TissueBox_2,PickupObject(TissueBox_2)
Lift item ToiletPaper_0,PickupObject(ToiletPaper_0)
Lift item ToiletPaper_1,PickupObject(ToiletPaper_1)
Lift item ToiletPaper_2,PickupObject(ToiletPaper_2)
Lift item Tomato_0,PickupObject(Tomato_0)
Lift item Tomato_1,PickupObject(Tomato_1)
Lift item Tomato_2,PickupObject(Tomato_2)
Lift item TomatoSliced_0,PickupObject(TomatoSliced_0)
Lift item TomatoSliced_1,PickupObject(TomatoSliced_1)
Lift item TomatoSliced_2,PickupObject(TomatoSliced_2)
Lift item Towel_0,PickupObject(Towel_0)
Lift item Towel_1,PickupObject(Towel_1)
Lift item Towel_2,PickupObject(Towel_2)
Lift item Vase_0,PickupObject(Vase_0)
Lift item Vase_1,PickupObject(Vase_1)
Lift item Vase_2,PickupObject(Vase_2)
Lift item Watch_0,PickupObject(Watch_0)
Lift item Watch_1,PickupObject(Watch_1)
Lift item Watch_2,PickupObject(Watch_2)
Lift item WateringCan_0,PickupObject(WateringCan_0)
Lift item WateringCan_1,PickupObject(WateringCan_1)
Lift item WateringCan_2,PickupObject(WateringCan_2)
Lift item WineBottle_0,PickupObject(WineBottle_0)
Lift item WineBottle_1,PickupObject(WineBottle_1)
Lift item WineBottle_2,PickupObject(WineBottle_2)
Hold object AlarmClock_0,PickupObject(AlarmClock_0)
Hold object AlarmClock_1,PickupObject(AlarmClock_1)
Hold object AlarmClock_2,PickupObject(AlarmClock_2)
Hold object Apple_0,PickupObject(Apple_0)
Hold object Apple_1,PickupObject(Apple_1)
Hold object Apple_2,PickupObject(Apple_2)
Hold object AppleSliced_0,PickupObject(AppleSliced_0)
Hold object AppleSliced_1,PickupObject(AppleSliced_1)
Hold object AppleSliced_2,PickupObject(AppleSliced_2)
Hold object BaseballBat_0,PickupObject(BaseballBat_0)
Hold object BaseballBat_1,PickupObject(BaseballBat_1)
Hold object BaseballBat_2,PickupObject(BaseballBat_2)
Hold object BasketBall_0,PickupObject(BasketBall_0)
Hold object BasketBall_1,PickupObject(BasketBall_1)
Hold object BasketBall_2,PickupObject(BasketBall_2)
Hold object Book_0,PickupObject(Book_0)
Hold object Book_1,PickupObject(Book_1)
Hold object Book_2,PickupObject(Book_2)
Hold object Boots_0,PickupObject(Boots_0)
Hold object Boots_1,PickupObject(Boots_1)
Hold object Boots_2,PickupObject(Boots_2)
Hold object Bottle_0,PickupObject(Bottle_0)
Hold object Bottle_1,PickupObject(Bottle_1)
Hold object Bottle_2,PickupObject(Bottle_2)
Hold object Bowl_0,PickupObject(Bowl_0)
Hold object Bowl_1,PickupObject(Bowl_1)
Hold object Bowl_2,PickupObject(Bowl_2)
Hold object Box_0,PickupObject(Box_0)
Hold object Box_1,PickupObject(Box_1)
Hold object Box_2,PickupObject(Box_2)
Hold object Bread_0,PickupObject(Bread_0)
Hold object Bread_1,PickupObject(Bread_1)
Hold object Bread_2,PickupObject(Bread_2)
Hold object BreadSliced_0,PickupObject(BreadSliced_0)
Hold object BreadSliced_1,PickupObject(BreadSliced_1)
Hold object BreadSliced_2,PickupObject(BreadSliced_2)
Hold object ButterKnife_0,PickupObject(ButterKnife_0)
Hold object ButterKnife_1,PickupObject(ButterKnife_1)
Hold object ButterKnife_2,PickupObject(ButterKnife_2)
Hold object Candle_0,PickupObject(Candle_0)
Hold object Candle_1,PickupObject(Candle_1)
Hold object Candle_2,PickupObject(Candle_2)
Hold object CD_0,PickupObject(CD_0)
Hold object CD_1,PickupObject(CD_1)
Hold object CD_2,PickupObject(CD_2)
Hold object CellPhone_0,PickupObject(CellPhone_0)
Hold object CellPhone_1,PickupObject(CellPhone_1)
Hold object CellPhone_2,PickupObject(CellPhone_2)
Hold object Cloth_0,PickupObject(Cloth_0)
Hold object Cloth_1,PickupObject(Cloth_1)
Hold object Cloth_2,PickupObject(Cloth_2)
Hold object CreditCard_0,PickupObject(CreditCard_0)
Hold object CreditCard_1,PickupObject(CreditCard_1)
Hold object CreditCard_2,PickupObject(CreditCard_2)
Hold object Cup_0,PickupObject(Cup_0)
Hold object Cup_1,PickupObject(Cup_1)
Hold object Cup_2,PickupObject(Cup_2)
Hold object DishSponge_0,PickupObject(DishSponge_0)
Hold object DishSponge_1,PickupObject(DishSponge_1)
Hold object DishSponge_2,PickupObject(DishSponge_2)
Hold object Egg_0,PickupObject(Egg_0)
Hold object Egg_1,PickupObject(Egg_1)
Hold object Egg_2,PickupObject(Egg_2)
Hold object EggCracked_0,PickupObject(EggCracked_0)
Hold object EggCracked_1,PickupObject(EggCracked_1)
Hold object EggCracked_2,PickupObject(EggCracked_2)
Hold object Fork_0,PickupObject(Fork_0)
Hold object Fork_1,PickupObject(Fork_1)
Hold object Fork_2,PickupObject(Fork_2)
Hold object HandTowel_0,PickupObject(HandTowel_0)
Hold object HandTowel_1,PickupObject(HandTowel_1)
Hold object HandTowel_2,PickupObject(HandTowel_2)
Hold object Kettle_0,PickupObject(Kettle_0)
Hold object Kettle_1,PickupObject(Kettle_1)
Hold object Kettle_2,PickupObject(Kettle_2)
Hold object KeyChain_0,PickupObject(KeyChain_0)
Hold object KeyChain_1,PickupObject(KeyChain_1)
Hold object KeyChain_2,PickupObject(KeyChain_2)
Hold object Knife_0,PickupObject(Knife_0)
Hold object Knife_1,PickupObject(Knife_1)
Hold object Knife_2,PickupObject(Knife_2)
Hold object Ladle_0,PickupObject(Ladle_0)
Hold object Ladle_1,PickupObject(Ladle_1)
Hold object Ladle_2,PickupObject(Ladle_2)
Hold object Laptop_0,PickupObject(Laptop_0)
Hold object Laptop_1,PickupObject(Laptop_1)
Hold object Laptop_2,PickupObject(Laptop_2)
Hold object Lettuce_0,PickupObject(Lettuce_0)
Hold object Lettuce_1,PickupObject(Lettuce_1)
Hold object Lettuce_2,PickupObject(Lettuce_2)
Hold object LettuceSliced_0,PickupObject(LettuceSliced_0)
Hold object LettuceSliced_1,PickupObject(LettuceSliced_1)
Hold object LettuceSliced_2,PickupObject(LettuceSliced_2)
Hold object Mug_0,PickupObject(Mug_0)
Hold object Mug_1,PickupObject(Mug_1)
Hold object Mug_2,PickupObject(Mug_2)
Hold object Newspaper_0,PickupObject(Newspaper_0)
Hold object Newspaper_1,PickupObject(Newspaper_1)
Hold object Newspaper_2,PickupObject(Newspaper_2)
Hold object Pan_0,PickupObject(Pan_0)
Hold object Pan_1,PickupObject(Pan_1)
Hold object Pan_2,PickupObject(Pan_2)
Hold object PaperTowel_0,PickupObject(PaperTowel_0)
Hold object PaperTowel_1,PickupObject(PaperTowel_1)
Hold object PaperTowel_2,PickupObject(PaperTowel_2)
Hold object Pen_0,PickupObject(Pen_0)
Hold object Pen_1,PickupObject(Pen_1)
Hold object Pen_2,PickupObject(Pen_2)
Hold object Pencil_0,PickupObject(Pencil_0)
Hold object Pencil_1,PickupObject(Pencil_1)
Hold object Pencil_2,PickupObject(Pencil_2)
Hold object PepperShaker_0,PickupObject(PepperShaker_0)
Hold object PepperShaker_1,PickupObject(PepperShaker_1)
Hold object PepperShaker_2,PickupObject(PepperShaker_2)
Hold object Pillow_0,PickupObject(Pillow_0)
Hold object Pillow_1,PickupObject(Pillow_1)
Hold object Pillow_2,PickupObject(Pillow_2)
Hold object Plate_0,PickupObject(Plate_0)
Hold object Plate_1,PickupObject(Plate_1)
Hold object Plate_2,PickupObject(Plate_2)
Hold object Plunger_0,PickupObject(Plunger_0)
Hold object Plunger_1,PickupObject(Plunger_1)
Hold object Plunger_2,PickupObject(Plunger_2)
Hold object Pot_0,PickupObject(Pot_0)
Hold object Pot_1,PickupObject(Pot_1)
Hold object Pot_2,PickupObject(Pot_2)
Hold object Potato_0,PickupObject(Potato_0)
Hold object Potato_1,PickupObject(Potato_1)
Hold object Potato_2,PickupObject(Potato_2)
Hold object PotatoSliced_0,PickupObject(PotatoSliced_0)
Hold object PotatoSliced_1,PickupObject(PotatoSliced_1)
Hold object PotatoSliced_2,PickupObject(PotatoSliced_2)
Hold object RemoteControl_0,PickupObject(RemoteControl_0)
Hold object RemoteControl_1,PickupObject(RemoteControl_1)
Hold object RemoteControl_2,PickupObject(RemoteControl_2)
Hold object SaltShaker_0,PickupObject(SaltShaker_0)
Hold object SaltShaker_1,PickupObject(SaltShaker_1)
Hold object SaltShaker_2,PickupObject(SaltShaker_2)
Hold object ScrubBrush_0,PickupObject(ScrubBrush_0)
Hold object ScrubBrush_1,PickupObject(ScrubBrush_1)
Hold object ScrubBrush_2,PickupObject(ScrubBrush_2)
Hold object SoapBar_0,PickupObject(SoapBar_0)
Hold object SoapBar_1,PickupObject(SoapBar_1)
Hold object SoapBar_2,PickupObject(SoapBar_2)
Hold object SoapBottle_0,PickupObject(SoapBottle_0)
Hold object SoapBottle_1,PickupObject(SoapBottle_1)
Hold object SoapBottle_2,PickupObject(SoapBottle_2)
Hold object Spatula_0,PickupObject(Spatula_0)
