Task,Function
Section Lettuce_0,SliceObject(Lettuce_0)
Section Lettuce_1,SliceObject(Lettuce_1)
Section Egg_0,SliceObject(Egg_0)
Section Egg_1,SliceObject(Egg_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Section Bread_0,SliceObject(Bread_0)
Section Bread_1,SliceObject(Bread_1)
Section Tomato_0,SliceObject(Tomato_0)
Section Tomato_1,SliceObject(Tomato_1)
Section Bread_0,SliceObject(Bread_0)
Section Bread_1,SliceObject(Bread_1)
Section Tomato_0,SliceObject(Tomato_0)
Section Tomato_1,SliceObject(Tomato_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Section Potato_0,SliceObject(Potato_0)
Section Potato_1,SliceObject(Potato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Lettuce_0,SliceObject(Lettuce_0)
Chop Lettuce_1,SliceObject(Lettuce_1)
Chop Egg_0,SliceObject(Egg_0)
Chop Egg_1,SliceObject(Egg_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Tomato_0,SliceObject(Tomato_0)
Chop Tomato_1,SliceObject(Tomato_1)
Chop Bread_0,SliceObject(Bread_0)
Chop Bread_1,SliceObject(Bread_1)
Chop Tomato_0,SliceObject(Tomato_0)
Chop Tomato_1,SliceObject(Tomato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Chop Potato_0,SliceObject(Potato_0)
Chop Potato_1,SliceObject(Potato_1)
Place object ScrubBrush_0,PutObject(ScrubBrush_0)
Place object ScrubBrush_1,PutObject(ScrubBrush_1)
Place object Pan_0,PutObject(Pan_0)
Place object Pan_1,PutObject(Pan_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object Plunger_0,PutObject(Plunger_0)
Place object Plunger_1,PutObject(Plunger_1)
Place object Book_0,PutObject(Book_0)
Place object Book_1,PutObject(Book_1)
Place object Newspaper_0,PutObject(Newspaper_0)
Place object Newspaper_1,PutObject(Newspaper_1)
Place object Lettuce_0,PutObject(Lettuce_0)
Place object Lettuce_1,PutObject(Lettuce_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object ToiletPaper_0,PutObject(ToiletPaper_0)
Place object ToiletPaper_1,PutObject(ToiletPaper_1)
Place object Spoon_0,PutObject(Spoon_0)
Place object Spoon_1,PutObject(Spoon_1)
Place object Pot_0,PutObject(Pot_0)
Place object Pot_1,PutObject(Pot_1)
Place object Box_0,PutObject(Box_0)
Place object Box_1,PutObject(Box_1)
Position item ScrubBrush_0,PutObject(ScrubBrush_0)
Position item ScrubBrush_1,PutObject(ScrubBrush_1)
Position item Pan_0,PutObject(Pan_0)
Position item Pan_1,PutObject(Pan_1)
Position item Egg_0,PutObject(Egg_0)
Position item Egg_1,PutObject(Egg_1)
Position item Plunger_0,PutObject(Plunger_0)
Position item Plunger_1,PutObject(Plunger_1)
Position item Book_0,PutObject(Book_0)
Position item Book_1,PutObject(Book_1)
Position item Newspaper_0,PutObject(Newspaper_0)
Position item Newspaper_1,PutObject(Newspaper_1)
Position item Lettuce_0,PutObject(Lettuce_0)
Position item Lettuce_1,PutObject(Lettuce_1)
Position item Egg_0,PutObject(Egg_0)
Position item Egg_1,PutObject(Egg_1)
Position item ToiletPaper_0,PutObject(ToiletPaper_0)
Position item ToiletPaper_1,PutObject(ToiletPaper_1)
Position item Spoon_0,PutObject(Spoon_0)
Position item Spoon_1,PutObject(Spoon_1)
Position item Pot_0,PutObject(Pot_0)
Position item Pot_1,PutObject(Pot_1)
Position item Box_0,PutObject(Box_0)
Position item Box_1,PutObject(Box_1)
Set down item ScrubBrush_0,PutObject(ScrubBrush_0)
Set down item ScrubBrush_1,PutObject(ScrubBrush_1)
Set down item Pan_0,PutObject(Pan_0)
Set down item Pan_1,PutObject(Pan_1)
Set down item Egg_0,PutObject(Egg_0)
Set down item Egg_1,PutObject(Egg_1)
Set down item Plunger_0,PutObject(Plunger_0)
Set down item Plunger_1,PutObject(Plunger_1)
Set down item Book_0,PutObject(Book_0)
Set down item Book_1,PutObject(Book_1)
Set down item Newspaper_0,PutObject(Newspaper_0)
Set down item Newspaper_1,PutObject(Newspaper_1)
Set down item Lettuce_0,PutObject(Lettuce_0)
Set down item Lettuce_1,PutObject(Lettuce_1)
Set down item Egg_0,PutObject(Egg_0)
Set down item Egg_1,PutObject(Egg_1)
Set down item ToiletPaper_0,PutObject(ToiletPaper_0)
Set down item ToiletPaper_1,PutObject(ToiletPaper_1)
Set down item Spoon_0,PutObject(Spoon_0)
Set down item Spoon_1,PutObject(Spoon_1)
Set down item Pot_0,PutObject(Pot_0)
Set down item Pot_1,PutObject(Pot_1)
Set down item Box_0,PutObject(Box_0)
Set down item Box_1,PutObject(Box_1)
Place object ScrubBrush_0,PutObject(ScrubBrush_0)
Place object ScrubBrush_1,PutObject(ScrubBrush_1)
Place object Pan_0,PutObject(Pan_0)
Place object Pan_1,PutObject(Pan_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object Plunger_0,PutObject(Plunger_0)
Place object Plunger_1,PutObject(Plunger_1)
Place object Book_0,PutObject(Book_0)
Place object Book_1,PutObject(Book_1)
Place object Newspaper_0,PutObject(Newspaper_0)
Place object Newspaper_1,PutObject(Newspaper_1)
Place object Lettuce_0,PutObject(Lettuce_0)
Place object Lettuce_1,PutObject(Lettuce_1)
Place object Egg_0,PutObject(Egg_0)
Place object Egg_1,PutObject(Egg_1)
Place object ToiletPaper_0,PutObject(ToiletPaper_0)
Place object ToiletPaper_1,PutObject(ToiletPaper_1)
Place object Spoon_0,PutObject(Spoon_0)
Place object Spoon_1,PutObject(Spoon_1)
Place object Pot_0,PutObject(Pot_0)
Place object Pot_1,PutObject(Pot_1)
Place object Box_0,PutObject(Box_0)
Place object Box_1,PutObject(Box_1)
Position object ScrubBrush_0,PutObject(ScrubBrush_0)
Position object ScrubBrush_1,PutObject(ScrubBrush_1)
Position object Pan_0,PutObject(Pan_0)
Position object Pan_1,PutObject(Pan_1)
Position object Egg_0,PutObject(Egg_0)
Position object Egg_1,PutObject(Egg_1)
Position object Plunger_0,PutObject(Plunger_0)
Position object Plunger_1,PutObject(Plunger_1)
Position object Book_0,PutObject(Book_0)
Position object Book_1,PutObject(Book_1)
Position object Newspaper_0,PutObject(Newspaper_0)
Position object Newspaper_1,PutObject(Newspaper_1)
Position object Lettuce_0,PutObject(Lettuce_0)
Position object Lettuce_1,PutObject(Lettuce_1)
Position object Egg_0,PutObject(Egg_0)
Position object Egg_1,PutObject(Egg_1)
Position object ToiletPaper_0,PutObject(ToiletPaper_0)
Position object ToiletPaper_1,PutObject(ToiletPaper_1)
Position object Spoon_0,PutObject(Spoon_0)
Position object Spoon_1,PutObject(Spoon_1)
Position object Pot_0,PutObject(Pot_0)
Position object Pot_1,PutObject(Pot_1)
Position object Box_0,PutObject(Box_0)
Position object Box_1,PutObject(Box_1)
Set the object in it's place ScrubBrush_0,PutObject(ScrubBrush_0)
Set the object in it's place ScrubBrush_1,PutObject(ScrubBrush_1)
Set the object in it's place Pan_0,PutObject(Pan_0)
Set the object in it's place Pan_1,PutObject(Pan_1)
Set the object in it's place Egg_0,PutObject(Egg_0)
Set the object in it's place Egg_1,PutObject(Egg_1)
Set the object in it's place Plunger_0,PutObject(Plunger_0)
Set the object in it's place Plunger_1,PutObject(Plunger_1)
Set the object in it's place Book_0,PutObject(Book_0)
Set the object in it's place Book_1,PutObject(Book_1)
Set the object in it's place Newspaper_0,PutObject(Newspaper_0)
Set the object in it's place Newspaper_1,PutObject(Newspaper_1)
Set the object in it's place Lettuce_0,PutObject(Lettuce_0)
Set the object in it's place Lettuce_1,PutObject(Lettuce_1)
Set the object in it's place Egg_0,PutObject(Egg_0)
Set the object in it's place Egg_1,PutObject(Egg_1)
Set the object in it's place ToiletPaper_0,PutObject(ToiletPaper_0)
Set the object in it's place ToiletPaper_1,PutObject(ToiletPaper_1)
Set the object in it's place Spoon_0,PutObject(Spoon_0)
Set the object in it's place Spoon_1,PutObject(Spoon_1)
Set the object in it's place Pot_0,PutObject(Pot_0)
Set the object in it's place Pot_1,PutObject(Pot_1)
Set the object in it's place Box_0,PutObject(Box_0)
Set the object in it's place Box_1,PutObject(Box_1)
Proceed to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Proceed to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Proceed to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Proceed to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Proceed to Pan_0,NavigateTo(Pan_0)
Proceed to Pan_1,NavigateTo(Pan_1)
Proceed to Cup_0,NavigateTo(Cup_0)
Proceed to Cup_1,NavigateTo(Cup_1)
Proceed to Shelf_0,NavigateTo(Shelf_0)
Proceed to Shelf_1,NavigateTo(Shelf_1)
Proceed to Bed_0,NavigateTo(Bed_0)
Proceed to Bed_1,NavigateTo(Bed_1)
Proceed to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Proceed to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Proceed to Bed_0,NavigateTo(Bed_0)
Proceed to Bed_1,NavigateTo(Bed_1)
Proceed to Cup_0,NavigateTo(Cup_0)
Proceed to Cup_1,NavigateTo(Cup_1)
Proceed to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Proceed to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Proceed to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Proceed to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Proceed to Box_0,NavigateTo(Box_0)
Proceed to Box_1,NavigateTo(Box_1)
Head towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Head towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Head towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Head towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Head towards Pan_0,NavigateTo(Pan_0)
Head towards Pan_1,NavigateTo(Pan_1)
Head towards Cup_0,NavigateTo(Cup_0)
Head towards Cup_1,NavigateTo(Cup_1)
Head towards Shelf_0,NavigateTo(Shelf_0)
Head towards Shelf_1,NavigateTo(Shelf_1)
Head towards Bed_0,NavigateTo(Bed_0)
Head towards Bed_1,NavigateTo(Bed_1)
Head towards ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Head towards ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Head towards Bed_0,NavigateTo(Bed_0)
Head towards Bed_1,NavigateTo(Bed_1)
Head towards Cup_0,NavigateTo(Cup_0)
Head towards Cup_1,NavigateTo(Cup_1)
Head towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Head towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Head towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Head towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Head towards Box_0,NavigateTo(Box_0)
Head towards Box_1,NavigateTo(Box_1)
Go to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Go to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Go to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Go to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Go to Pan_0,NavigateTo(Pan_0)
Go to Pan_1,NavigateTo(Pan_1)
Go to Cup_0,NavigateTo(Cup_0)
Go to Cup_1,NavigateTo(Cup_1)
Go to Shelf_0,NavigateTo(Shelf_0)
Go to Shelf_1,NavigateTo(Shelf_1)
Go to Bed_0,NavigateTo(Bed_0)
Go to Bed_1,NavigateTo(Bed_1)
Go to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Go to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Go to Bed_0,NavigateTo(Bed_0)
Go to Bed_1,NavigateTo(Bed_1)
Go to Cup_0,NavigateTo(Cup_0)
Go to Cup_1,NavigateTo(Cup_1)
Go to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Go to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Go to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Go to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Go to Box_0,NavigateTo(Box_0)
Go to Box_1,NavigateTo(Box_1)
Move towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Move towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Move towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Move towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Move towards Pan_0,NavigateTo(Pan_0)
Move towards Pan_1,NavigateTo(Pan_1)
Move towards Cup_0,NavigateTo(Cup_0)
Move towards Cup_1,NavigateTo(Cup_1)
Move towards Shelf_0,NavigateTo(Shelf_0)
Move towards Shelf_1,NavigateTo(Shelf_1)
Move towards Bed_0,NavigateTo(Bed_0)
Move towards Bed_1,NavigateTo(Bed_1)
Move towards ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Move towards ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Move towards Bed_0,NavigateTo(Bed_0)
Move towards Bed_1,NavigateTo(Bed_1)
Move towards Cup_0,NavigateTo(Cup_0)
Move towards Cup_1,NavigateTo(Cup_1)
Move towards CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Move towards CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Move towards BathtubBasin_0,NavigateTo(BathtubBasin_0)
Move towards BathtubBasin_1,NavigateTo(BathtubBasin_1)
Move towards Box_0,NavigateTo(Box_0)
Move towards Box_1,NavigateTo(Box_1)
Make your way to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Make your way to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Make your way to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Make your way to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Make your way to Pan_0,NavigateTo(Pan_0)
Make your way to Pan_1,NavigateTo(Pan_1)
Make your way to Cup_0,NavigateTo(Cup_0)
Make your way to Cup_1,NavigateTo(Cup_1)
Make your way to Shelf_0,NavigateTo(Shelf_0)
Make your way to Shelf_1,NavigateTo(Shelf_1)
Make your way to Bed_0,NavigateTo(Bed_0)
Make your way to Bed_1,NavigateTo(Bed_1)
Make your way to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Make your way to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Make your way to Bed_0,NavigateTo(Bed_0)
Make your way to Bed_1,NavigateTo(Bed_1)
Make your way to Cup_0,NavigateTo(Cup_0)
Make your way to Cup_1,NavigateTo(Cup_1)
Make your way to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Make your way to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Make your way to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Make your way to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Make your way to Box_0,NavigateTo(Box_0)
Make your way to Box_1,NavigateTo(Box_1)
Travel to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Travel to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Travel to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Travel to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Travel to Pan_0,NavigateTo(Pan_0)
Travel to Pan_1,NavigateTo(Pan_1)
Travel to Cup_0,NavigateTo(Cup_0)
Travel to Cup_1,NavigateTo(Cup_1)
Travel to Shelf_0,NavigateTo(Shelf_0)
Travel to Shelf_1,NavigateTo(Shelf_1)
Travel to Bed_0,NavigateTo(Bed_0)
Travel to Bed_1,NavigateTo(Bed_1)
Travel to ToiletPaperHanger_0,NavigateTo(ToiletPaperHanger_0)
Travel to ToiletPaperHanger_1,NavigateTo(ToiletPaperHanger_1)
Travel to Bed_0,NavigateTo(Bed_0)
Travel to Bed_1,NavigateTo(Bed_1)
Travel to Cup_0,NavigateTo(Cup_0)
Travel to Cup_1,NavigateTo(Cup_1)
Travel to CoffeeMachine_0,NavigateTo(CoffeeMachine_0)
Travel to CoffeeMachine_1,NavigateTo(CoffeeMachine_1)
Travel to BathtubBasin_0,NavigateTo(BathtubBasin_0)
Travel to BathtubBasin_1,NavigateTo(BathtubBasin_1)
Travel to Box_0,NavigateTo(Box_0)
Travel to Box_1,NavigateTo(Box_1)
Pickup object AlarmClock_0,PickupObject(AlarmClock_0)
Pickup object AlarmClock_1,PickupObject(AlarmClock_1)
Pickup object AlarmClock_2,PickupObject(AlarmClock_2)
Pickup object Apple_0,PickupObject(Apple_0)
Pickup object Apple_1,PickupObject(Apple_1)
Pickup object Apple_2,PickupObject(Apple_2)
Pickup object AppleSliced_0,PickupObject(AppleSliced_0)
Pickup object AppleSliced_1,PickupObject(AppleSliced_1)
Pickup object AppleSliced_2,PickupObject(AppleSliced_2)
Pickup object BaseballBat_0,PickupObject(BaseballBat_0)
Pickup object BaseballBat_1,PickupObject(BaseballBat_1)
Pickup object BaseballBat_2,PickupObject(BaseballBat_2)
Pickup object BasketBall_0,PickupObject(BasketBall_0)
Pickup object BasketBall_1,PickupObject(BasketBall_1)
Pickup object BasketBall_2,PickupObject(BasketBall_2)
Pickup object Book_0,PickupObject(Book_0)
Pickup object Book_1,PickupObject(Book_1)
Pickup object Book_2,PickupObject(Book_2)
Pickup object Boots_0,PickupObject(Boots_0)
Pickup object Boots_1,PickupObject(Boots_1)
Pickup object Boots_2,PickupObject(Boots_2)
Pickup object Bottle_0,PickupObject(Bottle_0)
Pickup object Bottle_1,PickupObject(Bottle_1)
Pickup object Bottle_2,PickupObject(Bottle_2)
Pickup object Bowl_0,PickupObject(Bowl_0)
Pickup object Bowl_1,PickupObject(Bowl_1)
Pickup object Bowl_2,PickupObject(Bowl_2)
Pickup object Box_0,PickupObject(Box_0)
Pickup object Box_1,PickupObject(Box_1)
Pickup object Box_2,PickupObject(Box_2)
Pickup object Bread_0,PickupObject(Bread_0)
Pickup object Bread_1,PickupObject(Bread_1)
Pickup object Bread_2,PickupObject(Bread_2)
Pickup object BreadSliced_0,PickupObject(BreadSliced_0)
Pickup object BreadSliced_1,PickupObject(BreadSliced_1)
Pickup object BreadSliced_2,PickupObject(BreadSliced_2)
Pickup object ButterKnife_0,PickupObject(ButterKnife_0)
Pickup object ButterKnife_1,PickupObject(ButterKnife_1)
Pickup object ButterKnife_2,PickupObject(ButterKnife_2)
Pickup object Candle_0,PickupObject(Candle_0)
Pickup object Candle_1,PickupObject(Candle_1)
Pickup object Candle_2,PickupObject(Candle_2)
Pickup object CD_0,PickupObject(CD_0)
Pickup object CD_1,PickupObject(CD_1)
Pickup object CD_2,PickupObject(CD_2)
Pickup object CellPhone_0,PickupObject(CellPhone_0)
Pickup object CellPhone_1,PickupObject(CellPhone_1)
Pickup object CellPhone_2,PickupObject(CellPhone_2)
Pickup object Cloth_0,PickupObject(Cloth_0)
Pickup object Cloth_1,PickupObject(Cloth_1)
Pickup object Cloth_2,PickupObject(Cloth_2)
Pickup object CreditCard_0,PickupObject(CreditCard_0)
Pickup object CreditCard_1,PickupObject(CreditCard_1)
Pickup object CreditCard_2,PickupObject(CreditCard_2)
Pickup object Cup_0,PickupObject(Cup_0)
Pickup object Cup_1,PickupObject(Cup_1)
Pickup object Cup_2,PickupObject(Cup_2)
Pickup object DishSponge_0,PickupObject(DishSponge_0)
Pickup object DishSponge_1,PickupObject(DishSponge_1)
Pickup object DishSponge_2,PickupObject(DishSponge_2)
Pickup object Egg_0,PickupObject(Egg_0)
Pickup object Egg_1,PickupObject(Egg_1)
Pickup object Egg_2,PickupObject(Egg_2)
Pickup object EggCracked_0,PickupObject(EggCracked_0)
Pickup object EggCracked_1,PickupObject(EggCracked_1)
Pickup object EggCracked_2,PickupObject(EggCracked_2)
Pickup object Fork_0,PickupObject(Fork_0)
Pickup object Fork_1,PickupObject(Fork_1)
Pickup object Fork_2,PickupObject(Fork_2)
Pickup object HandTowel_0,PickupObject(HandTowel_0)
Pickup object HandTowel_1,PickupObject(HandTowel_1)
Pickup object HandTowel_2,PickupObject(HandTowel_2)
Pickup object Kettle_0,PickupObject(Kettle_0)
Pickup object Kettle_1,PickupObject(Kettle_1)
Pickup object Kettle_2,PickupObject(Kettle_2)
Pickup object KeyChain_0,PickupObject(KeyChain_0)
Pickup object KeyChain_1,PickupObject(KeyChain_1)
Pickup object KeyChain_2,PickupObject(KeyChain_2)
Pickup object Knife_0,PickupObject(Knife_0)
Pickup object Knife_1,PickupObject(Knife_1)
Pickup object Knife_2,PickupObject(Knife_2)
Pickup object Ladle_0,PickupObject(Ladle_0)
Pickup object Ladle_1,PickupObject(Ladle_1)
Pickup object Ladle_2,PickupObject(Ladle_2)
Pickup object Laptop_0,PickupObject(Laptop_0)
Pickup object Laptop_1,PickupObject(Laptop_1)
Pickup object Laptop_2,PickupObject(Laptop_2)
Pickup object Lettuce_0,PickupObject(Lettuce_0)
Pickup object Lettuce_1,PickupObject(Lettuce_1)
Pickup object Lettuce_2,PickupObject(Lettuce_2)
Pickup object LettuceSliced_0,PickupObject(LettuceSliced_0)
Pickup object LettuceSliced_1,PickupObject(LettuceSliced_1)
Pickup object LettuceSliced_2,PickupObject(LettuceSliced_2)
Pickup object Mug_0,PickupObject(Mug_0)
Pickup object Mug_1,PickupObject(Mug_1)
Pickup object Mug_2,PickupObject(Mug_2)
Pickup object Newspaper_0,PickupObject(Newspaper_0)
Pickup object Newspaper_1,PickupObject(Newspaper_1)
Pickup object Newspaper_2,PickupObject(Newspaper_2)
Pickup object Pan_0,PickupObject(Pan_0)
Pickup object Pan_1,PickupObject(Pan_1)
Pickup object Pan_2,PickupObject(Pan_2)
Pickup object PaperTowel_0,PickupObject(PaperTowel_0)
Pickup object PaperTowel_1,PickupObject(PaperTowel_1)
Pickup object PaperTowel_2,PickupObject(PaperTowel_2)
Pickup object Pen_0,PickupObject(Pen_0)
Pickup object Pen_1,PickupObject(Pen_1)
Pickup object Pen_2,PickupObject(Pen_2)
Pickup object Pencil_0,PickupObject(Pencil_0)
Pickup object Pencil_1,PickupObject(Pencil_1)
Pickup object Pencil_2,PickupObject(Pencil_2)
Pickup object PepperShaker_0,PickupObject(PepperShaker_0)
Pickup object PepperShaker_1,PickupObject(PepperShaker_1)
Pickup object PepperShaker_2,PickupObject(PepperShaker_2)
Pickup object Pillow_0,PickupObject(Pillow_0)
Pickup object Pillow_1,PickupObject(Pillow_1)
Pickup object Pillow_2,PickupObject(Pillow_2)
Pickup object Plate_0,PickupObject(Plate_0)
Pickup object Plate_1,PickupObject(Plate_1)
Pickup object Plate_2,PickupObject(Plate_2)
Pickup object Plunger_0,PickupObject(Plunger_0)
